source_ref,name,town,verdict,company_number,company_name
30178,Archer Flooring Ltd,Nottingham,EXACT,06533806,ARCHER FLOORING LIMITED
29709,Banks Flooring Solutions ltd,Leyland,EXACT,10595196,BANKS FLOORING SOLUTIONS LIMITED
29862,Bradbeers,Southampton,NO_MATCH,,
30257,Burts of Darlington,Darlington,NO_MATCH,,
29471,Carpet Cuts,Swadlincote,EXACT,00889328,CARPET CUTS LIMITED
29743,Carpet GIANT Maidstone,Maidstone,STRONG,05748534,CARPET GIANT LTD
30244,Carpet Next Day Maidstone,Maidstone,NO_MATCH,,
29763,Clarkes Floors And Furniture,Hornchurch,STRONG,11172834,FLOORS &amp; FURNITURE LTD
29740,Crawley Carpet Warehouse,Crawley,EXACT,07837026,CRAWLEY CARPET WAREHOUSE LTD
29891,Elvet Flooring Solutions,County Durham,EXACT,15743915,ELVET FLOORING SOLUTIONS LIMITED
30465,Flooring Worx,Darlington,EXACT,10724759,FLOORING WORX LIMITED
29866,Floorscope,Corbridge,EXACT,11368405,FLOORSCOPE LIMITED
29429,Hopkins Flooring,Attleborough,EXACT,12461914,HOPKINS FLOORING LTD
29937,Islandwide Carpets,Isle of Wight,EXACT,04159984,ISLANDWIDE CARPETS LIMITED
29690,Lewis Carpets,Canterbury,EXACT,13724167,LEWIS CARPETS LTD
29921,Northumbria Flooring,North Shields,EXACT,09458678,NORTHUMBRIA FLOORING LIMITED
29715,Optimum Flooring Solutions,North Shields,EXACT,12229255,OPTIMUM FLOORING SOLUTIONS LIMITED
29915,Regency Flooring,Canterbury,EXACT,02651034,REGENCY FLOORING LIMITED
29864,Simon Davis Flooring,Bristol,EXACT,10560890,SIMON DAVIS FLOORING LTD
30176,T&B CARPETS,Manningtree,STRONG,16921701,T&amp;B LTD
30190,Thomas Hearn Furnishings,Kenilworth,STRONG,00307524,THOMAS HEARN LIMITED
30265,Trade Carpet London,Wimbledon,EXACT,07542216,TRADE CARPET LONDON LIMITED
29840,Walker Flooring,Knutsford,EXACT,05416291,WALKER FLOORING LIMITED
29905,Wilkinsons Flooring,Middlesbrough,NO_MATCH,,
29753,Dallas Carpets Scotland Ltd,Greenock,EXACT,SC239903,DALLAS CARPETS SCOTLAND LTD.
29850,Forth Furnishing,City of Edinburgh,STRONG,SC050544,FORTH FURNISHINGS LIMITED
30264,Arbons Carpet & Flooring,Norwich,NO_MATCH,,
29742,Carpet GIANT Croydon,Croydon,STRONG,05748534,CARPET GIANT LTD
30080,AMA Flooring,Cheltenham,NO_MATCH,,
29904,Ashford Trade Flooring,Ashford,EXACT,08945894,ASHFORD TRADE FLOORING LIMITED
30174,Ashley Cooke's Carpet & Flooring,Malton,NO_MATCH,,
30175,Ashley Cooke's Carpets & Flooring Scarborough Ltd,Scarborough,STRONG,15429279,ASHLEY COOKE&#39;S CARPETS AND FLOORING SCARBOROUGH LIMITED
29731,Avana flooring,Wroughton,EXACT,12881950,AVANA FLOORING LTD
29730,Avonvale carpets,Bath,EXACT,08010957,AVONVALE CARPETS LIMITED
29888,Bainton Flooring,Bournemouth,EXACT,05901166,BAINTON FLOORING LIMITED
29865,Bartram Flooring Services,Sunderland,EXACT,04456707,BARTRAM FLOORING SERVICES LTD
29734,Beccles Carpet Centre,Beccles,STRONG,13966357,BECCLES CARPET CENTRE HOLDINGS LIMITED
29463,Bespoke Flooring,Saint Helens,STRONG,NI681923,BESPOKE FLOORING AND INTERIORS LTD
29747,Bespoke flooring Of Oxted,Oxted,NO_MATCH,,
29711,Blackberry Hill Carpets & Flooring,Market Harborough,NO_MATCH,,
29686,Bo-Hus,Worthing,NO_MATCH,,
29696,Bredon Hill Flooring,Tewkesbury,EXACT,11345644,BREDON HILL FLOORING LIMITED
29667,Browns Carpets and Flooring,Yarm,NO_MATCH,,
30193,Burgess Flooring and Blinds,Worthing,EXACT,08436453,BURGESS FLOORING &amp; BLINDS LIMITED
30180,Burnley Carpets & Interiors,Burnley,EXACT,07165227,BURNLEY CARPETS &amp; INTERIORS LTD
30184,Burts Carpets of Darlington,Darlington,NO_MATCH,,
29762,C&M Flooring,Guisborough,EXACT,02547263,C. &amp; M. (FLOORING) LIMITED
29760,Calder Valley Flooring,Halifax,EXACT,08810776,CALDER VALLEY FLOORING LIMITED
29701,Carpet and Furniture Supplies,Preston,NO_MATCH,,
29919,Carpet and Vinyl Warehouse,Skegness,EXACT,14873837,CARPET AND VINYL WAREHOUSE LIMITED
29688,Carpet Connection,Sudbury,EXACT,04318784,CARPET CONNECTION LIMITED
29849,Carpet Creations,Poynton,EXACT,13656728,CARPET CREATIONS LIMITED
29878,Carpet Cuts Loughborough,Loughborough,STRONG,00889328,CARPET CUTS LIMITED
29744,Carpet GIANT Charton,Charlton,STRONG,05748534,CARPET GIANT LTD
29741,Carpet GIANT Orpingdon,Orpington,STRONG,05748534,CARPET GIANT LTD
29892,Carpet Options,Witney,EXACT,01833206,CARPET OPTIONS LIMITED
29674,Carpets 2 You,Bishop Auckland,STRONG,11464628,STRAIGHT 2 YOU CARPETS LIMITED
30085,Carpets Direct Bristol,City of Bristol,EXACT,07134215,CARPETS DIRECT (BRISTOL) LIMITED
29745,Castle Carpets - Malton,Malton,STRONG,01444030,CASTLE CARPETS LIMITED
29842,Chadwick Carpets Ltd,Liverpool,EXACT,14038414,CHADWICK CARPETS LTD
30252,Cheam Flooring,Cheam,NO_MATCH,,
