id,api_id,name,address_line1,address_line2,city,county,postcode,nation,country,full_address,latitude,longitude,website,store_url
29438,/api/store_locators/29438,A Wood Idea,4 Blaydon Trade Park,,Blaydon-on-Tyne,England,NE21 5TR,England,United Kingdom,"4 Blaydon Trade Park, Blaydon-on-Tyne, England, NE21 5TR, United Kingdom",54.9658904,-1.7128176,http://www.awoodidea.co.uk,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/blaydon-on-tyne/29438-a-wood-idea?locale=en_GB
30080,/api/store_locators/30080,AMA Flooring,20 Kingsditch Lane,,Cheltenham,England,GL51 9PB,England,United Kingdom,"20 Kingsditch Lane, Cheltenham, England, GL51 9PB, United Kingdom",51.915482,-2.096710,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/cheltenham/30080-ama-flooring?locale=en_GB
30261,/api/store_locators/30261,Amtico Flooring Installations Limited,Station Parade,Balham High Rd,London,England,SW12 9AZ,England,United Kingdom,"Station Parade, Balham High Rd, London, England, SW12 9AZ, United Kingdom",51.444851,-0.151600,https://www.balhamflooring.com,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/london/30261-amtico-flooring-installations-limited?locale=en_GB
30264,/api/store_locators/30264,Arbons Carpet & Flooring,Unit 1 Notcutts,Daniels Rd,Norwich,England,NR4 6QP,England,United Kingdom,"Unit 1 Notcutts, Daniels Rd, Norwich, England, NR4 6QP, United Kingdom",52.614311,1.277910,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/norwich/30264-arbons-carpet-flooring?locale=en_GB
30178,/api/store_locators/30178,Archer Flooring Ltd,76 Derby Rd,Stapleford,Nottingham,England,NG9 7AB,England,United Kingdom,"76 Derby Rd, Stapleford, Nottingham, England, NG9 7AB, United Kingdom",52.929489,-1.274530,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/nottingham/30178-archer-flooring-ltd?locale=en_GB
29904,/api/store_locators/29904,Ashford Trade Flooring,96 Ellingham Way Industrial Estate,,Ashford,England,TN23 6LZ,England,United Kingdom,"96 Ellingham Way Industrial Estate, Ashford, England, TN23 6LZ, United Kingdom",51.128100,0.862690,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/ashford/29904-ashford-trade-flooring?locale=en_GB
30174,/api/store_locators/30174,Ashley Cooke's Carpet & Flooring,27-29 Wheelgate,Malton,Malton,England,YO17 7HT,England,United Kingdom,"27-29 Wheelgate, Malton, Malton, England, YO17 7HT, United Kingdom",54.134998,-0.796830,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/malton/30174-ashley-cooke-s-carpet-flooring?locale=en_GB
30175,/api/store_locators/30175,Ashley Cooke's Carpets & Flooring Scarborough Ltd,1 Ramshill Rd,,Scarborough,England,YO11 2LN,England,United Kingdom,"1 Ramshill Rd, Scarborough, England, YO11 2LN, United Kingdom",54.274129,-0.403007,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/scarborough/30175-ashley-cooke-s-carpets-flooring-scarborough-ltd?locale=en_GB
29731,/api/store_locators/29731,Avana flooring,Unit 6; Wroughton Business Park,Swindon Rd,Wroughton,England,SN4 9BH,England,United Kingdom,"Unit 6; Wroughton Business Park, Swindon Rd, Wroughton, England, SN4 9BH, United Kingdom",51.5324697,-1.7841235,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/wroughton/29731-avana-flooring?locale=en_GB
29730,/api/store_locators/29730,Avonvale carpets,37 Kingsmead St,,Bath,Somerset,BA1 2AA,England,United Kingdom,"37 Kingsmead St, Bath, Somerset, BA1 2AA, United Kingdom",51.3815676,-2.3633925,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/somerset/bath/29730-avonvale-carpets?locale=en_GB
29888,/api/store_locators/29888,Bainton Flooring,92-94 CASTLE LANE WEST,,Bournemouth,England,BH9 3JU,England,United Kingdom,"92-94 CASTLE LANE WEST, Bournemouth, England, BH9 3JU, United Kingdom",50.751869,-1.850950,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/bournemouth/29888-bainton-flooring?locale=en_GB
29709,/api/store_locators/29709,Banks Flooring Solutions ltd,Unit 8a,Centurion Court,Leyland,England,PR25 3UQ,England,United Kingdom,"Unit 8a, Centurion Court, Leyland, England, PR25 3UQ, United Kingdom",53.697931,-2.695478,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/leyland/29709-banks-flooring-solutions-ltd?locale=en_GB
29865,/api/store_locators/29865,Bartram Flooring Services,Cambria St,South Hylton,Sunderland,England,SR4 0LT,England,United Kingdom,"Cambria St, South Hylton, Sunderland, England, SR4 0LT, United Kingdom",54.90415,-1.45068,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/sunderland/29865-bartram-flooring-services?locale=en_GB
29734,/api/store_locators/29734,Beccles Carpet Centre,Gosford Road,,Beccles,England,NR34 9QP,England,United Kingdom,"Gosford Road, Beccles, England, NR34 9QP, United Kingdom",52.4564809,1.5696386,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/beccles/29734-beccles-carpet-centre?locale=en_GB
29463,/api/store_locators/29463,Bespoke Flooring,Old Smithy,Rainford,Saint Helens,Lancashire,WA11 8HD,England,United Kingdom,"Old Smithy, Rainford, Saint Helens, Lancashire, WA11 8HD, United Kingdom",53.7247837,-2.6614353,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/lancashire/saint-helens/29463-bespoke-flooring?locale=en_GB
29747,/api/store_locators/29747,Bespoke flooring Of Oxted,101 -103 Station Road East;,,Oxted,Surrey,RH8 0AY,England,United Kingdom,"101 -103 Station Road East;, Oxted, Surrey, RH8 0AY, United Kingdom",51.2578799,-0.0037029,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/surrey/oxted/29747-bespoke-flooring-of-oxted?locale=en_GB
29711,/api/store_locators/29711,Blackberry Hill Carpets & Flooring,Unit 1,78 St Marys Road,Market Harborough,England,LE16 7DU,England,United Kingdom,"Unit 1, 78 St Marys Road, Market Harborough, England, LE16 7DU, United Kingdom",52.478630,-0.915760,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/market-harborough/29711-blackberry-hill-carpets-flooring?locale=en_GB
29686,/api/store_locators/29686,Bo-Hus,126 Aldsworth Ave,Goring-by-Sea,Worthing,Gloucestershire,BN12 4UU,England,United Kingdom,"126 Aldsworth Ave, Goring-by-Sea, Worthing, Gloucestershire, BN12 4UU, United Kingdom",50.8150906,-0.4310798,https://www.flooringproductsdirect.net/,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/gloucestershire/worthing/29686-bo-hus?locale=en_GB
