name,town,nation,place_id,rating,reviews,photos,has_website,score,band,match_confidence,headline_gap
A Wood Idea,Blaydon-on-Tyne,England,ChIJbYvm8ZN3fkgRU21hgIpvq6s,4.7,101,10,yes,91,Strong,high,Rating is 4.7 — below the 5.0 ceiling
AMA Flooring,Cheltenham,England,ChIJYZ1lgH4bcUgRtq-scCo6wCs,4.2,10,2,yes,56,Needs work,high,Only 10 reviews — needs more to build trust
Amtico Flooring Installations Limited,London,England,ChIJwynuR8UFdkgRcPFSZdifW2E,4.5,87,10,yes,81,Strong,review,Only 87 reviews — needs more to build trust
Arbons Carpet & Flooring,Norwich,England,ChIJPzgRmTji2UcRF7Tjni6d2Ns,5,253,10,yes,100,Strong,high,Profile is in great shape — keep reviews coming
Archer Flooring Ltd,Nottingham,England,ChIJC7VvWD7peUgRP7vf1d_ywmY,4.3,14,10,yes,64,OK,high,Only 14 reviews — needs more to build trust
Ashford Trade Flooring,Ashford,England,ChIJH7l-lMnb3kcRQh7uR8NKAjY,4.2,33,6,yes,70,OK,high,Only 33 reviews — needs more to build trust
Ashley Cooke's Carpet & Flooring,Malton,England,ChIJ4xrBpVsqf0gR8wjjz38x4VM,4.5,19,10,yes,67,OK,high,Only 19 reviews — needs more to build trust
Ashley Cooke's Carpets & Flooring Scarborough Ltd,Scarborough,England,ChIJ92ll1IxHf0gRzWLZ-vjP3WY,4.8,42,10,yes,81,Strong,high,Only 42 reviews — needs more to build trust
Avana flooring,Wroughton,England,ChIJ-c1fV_FFcUgRhv893qWTexY,4.9,193,10,yes,94,Strong,high,193 reviews — push past 200 to max the trust signal
Avonvale carpets,Bath,England,ChIJXdIEIxSBcUgRBrGmPpK8BOA,4.9,189,10,yes,94,Strong,high,189 reviews — push past 200 to max the trust signal
Bainton Flooring,Bournemouth,England,ChIJvy2cnQiic0gRrXeuz9NQmBA,5,12,1,yes,70,OK,high,Only 12 reviews — needs more to build trust
Banks Flooring Solutions ltd,Leyland,England,ChIJ_5mxCKUSe0gR5AfemvRUKOM,4.9,82,10,yes,88,Strong,high,Only 82 reviews — needs more to build trust
Bartram Flooring Services,Sunderland,England,ChIJOdP7yVVkfkgRQG1ElWVNUCk,4.9,58,10,yes,88,Strong,high,Only 58 reviews — needs more to build trust
Beccles Carpet Centre,Beccles,England,,,0,0,no,0,Invisible,NOT FOUND,No Google Business Profile found — invisible on Google Maps & Search
Bespoke Flooring,Saint Helens,England,ChIJOQLuv80be0gR6TNFe3hWLe4,4.9,20,10,yes,74,OK,high,Only 20 reviews — needs more to build trust
Bespoke flooring Of Oxted,Oxted,England,ChIJOVHxDlT5dUgRTRw4qtpk1fA,5,21,10,yes,76,OK,review,Only 21 reviews — needs more to build trust
Blackberry Hill Carpets & Flooring,Market Harborough,England,ChIJ01S8IRtxd0gRybNXiDFVrOk,4.9,65,10,yes,88,Strong,high,Only 65 reviews — needs more to build trust
Bo-Hus,Worthing,England,ChIJjaCvasCjdUgRZQWA27ZqdYU,5,3,2,yes,62,OK,high,Only 3 reviews — needs more to build trust
Bradbeers,Southampton,England,ChIJd4bP9gNydEgRbkhwQuTOgqY,4.3,345,10,yes,88,Strong,high,Rating is 4.3 — below the 5.0 ceiling
Bredon Hill Flooring,Tewkesbury,England,ChIJsSwHxQzjcEgR4WcUlfsXg3o,4.7,26,10,yes,79,OK,high,Only 26 reviews — needs more to build trust
Browns Carpets and Flooring,Yarm,England,ChIJB3HEjwuUfkgRYEbe_-nvnOs,4.9,10,10,yes,74,OK,high,Only 10 reviews — needs more to build trust
Burgess Flooring and Blinds,Worthing,England,ChIJL5IX-omjdUgRDVa1BDfiJRw,4.9,39,10,yes,82,Strong,review,Only 39 reviews — needs more to build trust
Burnley Carpets & Interiors,Burnley,England,ChIJFRz2_iqXe0gRlJb73BJ5vqI,4.7,95,10,yes,85,Strong,high,Only 95 reviews — needs more to build trust
Burts Carpets of Darlington,Darlington,England,ChIJMd9zKcqbfkgR-7IbH2_YIMU,4.7,93,10,yes,85,Strong,high,Only 93 reviews — needs more to build trust
Burts of Darlington,Darlington,England,ChIJMd9zKcqbfkgR-7IbH2_YIMU,4.7,93,10,yes,85,Strong,high,Only 93 reviews — needs more to build trust
C&M Flooring,Guisborough,England,ChIJhai0FvTlfkgRI9jZaRFCCLk,4.9,14,0,yes,68,OK,high,Only 14 reviews — needs more to build trust
Calder Valley Flooring,Halifax,England,ChIJYSrZr8vDe0gRMRFz2qvOYCM,5,87,10,yes,90,Strong,high,Only 87 reviews — needs more to build trust
Carpet and Furniture Supplies,Preston,England,ChIJrZBRP8Bye0gRxDAC84roKo0,4.7,18,10,yes,71,OK,high,Only 18 reviews — needs more to build trust
Carpet and Vinyl Warehouse,Skegness,England,ChIJm61owpjH10cRUNwb3qQWshQ,4.8,9,10,yes,65,OK,high,Only 9 reviews — needs more to build trust
Carpet Connection,Sudbury,England,ChIJmddCXHJV2EcRUEyptPR9SY0,4.9,111,10,yes,94,Strong,high,111 reviews — push past 200 to max the trust signal
Carpet Creations,Poynton,England,ChIJtwp3nxVLekgRiSnndCftaHg,4.3,36,10,yes,72,OK,high,Only 36 reviews — needs more to build trust
Carpet Cuts,Swadlincote,England,ChIJ83R5YtLieUgR0I8IkN0gnzM,3.9,101,10,yes,77,OK,review,Rating is 3.9 — below the 5.0 ceiling
Carpet Cuts Loughborough,Loughborough,England,ChIJT5DWvrDgeUgR37oZ7pg8jAk,4.3,52,5,yes,78,OK,high,Rating is 4.3 — below the 5.0 ceiling
